"id","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","instant_bookable","a_balcony","a_garden","a_fireplace","a_outdoors","a_pool","a_breakfast","a_air_conditioning","a_parking","a_working_space","a_child_friendly","a_gym","a_gaming","a_kitchen","a_pets","bathroom_digits","bathroom_chars","bathrooms_type","bathrooms_count","flag_review_scores_rating"
26588642,"90","84",0,7,7,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",5,"1.5 baths",3,4,116,3,1125,3,3,1125,1125,3,1125,1,25,55,85,353,2020-12-18,29,9,0,83,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,". baths","1.5 ","Private",1,0
26592652,"100","100",0,3,3,1,1,"el Barri Gòtic","Ciutat Vella","Apartment","Entire home/apt",2,"1.5 baths",1,1,28,31,1125,31,31,1125,1125,31,1125,1,9,39,69,344,2020-12-17,8,2,0,95,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,". baths","1.5 ","Private",1,0
26595790,"70","57",0,2,2,1,1,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella","Apartment","Private room",3,"1.5 shared baths",2,2,12,2,31,2,2,31,31,2,31,1,12,42,72,87,2020-12-17,12,12,0,98,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,". shared baths","1.5  ","Shared",1,0
26600666,"100","83",1,2,2,1,1,"el Raval","Ciutat Vella","Apartment","Entire home/apt",4,"1 bath",1,2,38,32,1125,7,32,1125,1125,31.3,1125,1,11,11,11,228,2020-12-17,7,4,0,97,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0," bath","1 ","Private",1,0
26601188,"N/A","100",0,2,2,1,0,"el Poble Sec","Sants-Montjuïc","Apartment","Private room",2,"1 shared bath",1,1,58,1,1125,1,1,1125,1125,1,1125,1,30,60,90,365,2020-12-18,21,1,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0," shared bath","1  ","Shared",1,0
26613280,"100","0",0,1,1,1,1,"el Barri Gòtic","Ciutat Vella","Apartment","Private room",2,"1 shared bath",1,1,36,32,45,32,32,45,45,32,45,1,0,0,0,0,2020-12-16,6,0,0,92,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0," shared bath","1  ","Shared",1,0
26618359,"N/A","N/A",0,3,3,1,0,"el Fort Pienc","Eixample","Apartment","Private room",2,"1 private bath",1,1,69,1,1125,1,1,1125,1125,1,1125,1,16,46,76,351,2020-12-18,7,0,0,88,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0," private bath","1  ","Private",1,0
26619115,"100","80",1,20,20,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",5,"1.5 baths",3,4,144,3,30,3,3,30,30,3,30,1,27,57,72,347,2020-12-18,1,0,0,100,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,". baths","1.5 ","Private",1,0
26625950,"100","80",1,20,20,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",4,"1 bath",2,2,126,3,180,3,3,180,180,3,180,1,24,54,69,344,2020-12-17,1,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0," bath","1 ","Private",1,0
26628669,"100","80",1,20,20,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",6,"2 baths",3,6,261,3,180,3,3,180,180,3,180,1,17,47,58,333,2020-12-17,2,0,0,100,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0," baths","2 ","Private",2,0
