id,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,a_balcony,a_garden,a_fireplace,a_outdoors,a_pool,a_breakfast,a_air_conditioning,a_parking,a_working_space,a_child_friendly,a_gym,a_gaming,a_kitchen,a_pets,bathrooms_type,bathrooms_count,flag_review_scores_rating,ln_price,host_professional,seeked,is_reviewed,holdout
40718174,0,4,4,1,1,la Barceloneta,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,1,2,45,32,1125,32,32,1125,1125,32,1125,1,30,60,90,365,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Private,1,1,3.8066624897703196,Professional,0,0,0
40718316,0,1,1,1,1,el Raval,Ciutat Vella,Apartment,Private room,3,1 bath,1,3,100,3,1125,3,3,1125,1125,3,1125,1,30,60,90,365,2020-12-17,1,1,0,40,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,0,4.605170185988092,Individual,0,1,1
40719435,0,2,2,1,1,el Clot,Sant Martí,Apartment,Private room,2,1 private bath,1,2,17,30,1125,30,30,1125,1125,30,1125,1,30,44,44,243,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Private,1,1,2.833213344056216,Individual,1,0,1
40719935,0,0,0,1,0,el Besòs i el Maresme,Sant Martí,Apartment,Private room,2,1 bath,1,2,32,30,1125,30,30,1125,1125,30,1125,1,30,60,90,90,2020-12-18,1,1,0,100,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,Private,1,0,3.4657359027997265,Individual,1,1,0
40722424,0,28,28,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,4,1 bath,2,0,150,60,1125,60,60,1125,1125,60,1125,1,1,1,1,47,2020-12-18,2,2,0,80,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Private,1,0,5.0106352940962555,Professional,1,1,0
40723023,0,7,7,1,1,Sarrià,Sarrià-Sant Gervasi,Apartment,Entire home/apt,2,1 bath,1,1,60,1,365,1,1,365,365,1,365,1,25,55,85,354,2020-12-18,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Private,1,0,4.0943445622221,Professional,0,1,0
40723348,0,4,4,1,1,el Raval,Ciutat Vella,Apartment,Private room,2,1 private bath,1,1,60,2,1125,2,2,1125,1125,2,1125,1,15,45,75,165,2020-12-17,14,14,0,89,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,4.0943445622221,Professional,1,1,0
40723453,0,3,3,1,1,la Barceloneta,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,2,2,90,30,1125,30,30,1125,1125,30,1125,1,29,59,89,179,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,1,4.499809670330265,Individual,1,0,0
40725622,0,0,0,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,4,1 private bath,1,3,200,1,1125,1,1,999,999,1,999,1,3,11,15,15,2020-12-17,39,39,0,94,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Private,1,0,5.298317366548036,Individual,1,1,0
40728666,0,1,1,1,0,el Guinardó,Horta-Guinardó,Apartment,Private room,2,1 bath,1,2,24,7,1125,7,7,1125,1125,7,1125,1,30,60,90,90,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Private,1,1,3.1780538303479458,Individual,1,0,0
40743368,0,96,96,1,1,Sants - Badal,Sants-Montjuïc,Apartment,Entire home/apt,4,1 bath,3,4,48,32,360,32,32,360,360,32,360,1,0,15,45,320,2020-12-17,0,0,0,94,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,1,3.871201010907891,Professional,0,0,0
40744805,0,136,136,1,1,el Raval,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,1,2,30,32,365,32,32,365,365,32,365,1,1,1,1,1,2020-12-19,0,0,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,1,3.4011973816621555,Professional,1,0,0
40745175,0,39,39,1,1,les Corts,Les Corts,Apartment,Entire home/apt,4,1.5 baths,3,3,50,32,1125,32,32,1125,1125,32,1125,1,22,22,22,284,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,1,3.912023005428146,Professional,1,0,0
40747512,0,1,1,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,3,1 bath,1,2,100,3,1125,3,3,1125,1125,3,1125,1,30,60,90,180,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Private,1,1,4.605170185988092,Individual,1,0,0
40747870,0,3,3,1,0,la Sagrada Família,Eixample,Apartment,Private room,2,1 shared bath,1,1,50,1,60,1,1,60,60,1,60,1,0,0,0,0,2020-12-18,4,4,0,90,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Shared,1,0,3.912023005428146,Individual,1,1,0
40748142,0,2,2,1,1,el Fort Pienc,Eixample,Apartment,Private room,3,1.5 shared baths,1,2,17,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,2020-12-18,45,43,0,90,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Shared,1,0,2.833213344056216,Individual,1,1,0
40748653,0,1,1,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,3,1 shared bath,1,2,100,3,1125,3,3,1125,1125,3,1125,1,30,60,90,180,2020-12-17,2,2,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Shared,1,0,4.605170185988092,Individual,1,1,0
40751655,0,0,0,1,0,el Barri Gòtic,Ciutat Vella,Apartment,Private room,4,2 shared baths,2,2,160,2,1125,2,2,1125,1125,2,1125,1,30,60,90,365,2020-12-18,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Shared,2,1,5.075173815233827,Individual,0,0,0
40751737,0,1,1,1,0,Sant Antoni,Eixample,Apartment,Private room,3,1 bath,1,3,29,2,20,2,2,20,20,2,20,1,30,60,90,90,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,1,3.367295829986474,Individual,1,0,1
40752541,0,0,0,1,0,el Barri Gòtic,Ciutat Vella,Apartment,Private room,4,2 shared baths,2,3,160,2,1125,2,2,1125,1125,2,1125,1,30,60,90,365,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Shared,2,1,5.075173815233827,Individual,0,0,0
40753426,0,0,0,1,0,el Barri Gòtic,Ciutat Vella,Apartment,Private room,2,2 shared baths,1,1,75,2,1125,2,2,1125,1125,2,1125,1,30,60,90,365,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Shared,2,1,4.31748811353631,Individual,0,0,0
40754650,0,3,3,1,0,la Sagrada Família,Eixample,Apartment,Private room,2,1 bath,1,1,35,5,1125,5,5,1125,1125,5,1125,1,30,60,90,180,2020-12-18,1,1,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,3.5553480614894135,Individual,1,1,0
40767024,0,29,29,1,1,el Putxet i el Farró,Sarrià-Sant Gervasi,Apartment,Entire home/apt,6,1 bath,3,4,185,2,1125,2,5,1125,1125,2.6,1125,1,0,0,0,0,2020-12-18,6,6,0,90,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,5.220355825078324,Professional,1,1,0
40769323,1,1,1,1,1,la Sagrada Família,Eixample,Apartment,Entire home/apt,4,1 bath,1,2,45,1,1125,1,30,1125,1125,9.6,1125,1,2,2,2,16,2020-12-16,0,0,0,94,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Private,1,1,3.8066624897703196,Individual,1,0,0
40770258,0,1,1,1,0,el Raval,Ciutat Vella,Apartment,Private room,5,1 bath,1,3,35,1,8,1,1,8,8,1,8,1,30,60,90,90,2020-12-18,1,1,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Private,1,0,3.5553480614894135,Individual,1,1,0
40770694,0,149,149,1,1,Sants - Badal,Sants-Montjuïc,Apartment,Entire home/apt,4,1 bath,1,3,89,2,364,2,3,1125,1125,2.2,1125,1,16,46,76,337,2020-12-18,3,3,0,87,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,4.48863636973214,Professional,0,1,1
40771798,0,1,1,1,0,el Poble Sec,Sants-Montjuïc,Apartment,Private room,2,0 shared baths,1,1,23,31,31,31,31,1125,1125,31,1125,1,30,60,90,180,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shared,0,1,3.1354942159291497,Individual,1,0,1
40775040,1,7,7,1,1,el Parc i la Llacuna del Poblenou,Sant Martí,Apartment,Entire home/apt,3,1 bath,1,1,65,2,30,2,2,30,30,2,30,1,1,1,1,1,2020-12-18,16,16,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,0,4.174387269895637,Professional,1,1,0
40775419,0,59,59,1,1,la Barceloneta,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,2,2,114,32,1125,32,32,999,999,32,999,1,0,0,0,0,2020-12-18,0,0,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,1,4.736198448394496,Professional,1,0,1
40783153,0,10,10,1,0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Apartment,Private room,2,1 shared bath,1,1,35,3,1125,3,3,1125,1125,3,1125,1,30,60,90,90,2020-12-18,0,0,0,94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shared,1,1,3.5553480614894135,Professional,1,0,1
40789957,1,10,10,1,1,la Barceloneta,Ciutat Vella,Apartment,Entire home/apt,6,1 bath,2,2,59,3,1125,2,3,1125,1125,3,1125,1,30,60,90,365,2020-12-17,8,8,0,100,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,Private,1,0,4.07753744390572,Professional,0,1,0
40791483,0,172,172,1,1,Hostafrancs,Sants-Montjuïc,Apartment,Entire home/apt,5,1 bath,2,5,189,3,300,2,5,300,300,3.2,300,1,0,0,0,250,2020-12-30,4,4,0,95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,5.241747015059643,Professional,1,1,1
40792051,0,0,0,1,0,la Nova Esquerra de l'Eixample,Eixample,Apartment,Private room,2,1 bath,1,2,34,3,31,3,3,31,31,3,31,1,0,0,0,0,2020-12-16,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Private,1,0,3.5263605246161616,Individual,1,1,0
40795683,0,1,1,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,5,2 baths,3,3,130,32,1125,32,32,1125,1125,32,1125,1,29,59,89,364,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,2,1,4.867534450455582,Individual,0,0,0
40795882,1,18,18,1,1,Sant Antoni,Eixample,Apartment,Private room,3,3 shared baths,3,3,25,30,1125,30,30,1125,1125,30,1125,1,30,60,90,365,2020-12-18,0,0,0,94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shared,3,1,3.2188758248682006,Professional,0,0,0
40796396,0,3,3,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,2,1 bath,1,0,70,31,1125,31,31,1125,1125,31,1125,1,0,0,0,0,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,1,4.248495242049359,Individual,1,0,0
40796451,0,96,96,1,1,el Raval,Ciutat Vella,Apartment,Entire home/apt,4,1 bath,2,4,40,32,360,32,32,360,360,32,360,1,0,13,43,318,2020-12-17,0,0,0,94,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,1,3.6888794541139363,Professional,0,0,0
40796920,0,3,3,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,2,1 bath,1,0,62,31,1125,31,31,1125,1125,31,1125,1,0,0,0,138,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,1,4.127134385045092,Individual,1,0,0
40799318,0,1,1,1,1,la Font d'en Fargues,Horta-Guinardó,Apartment,Entire home/apt,3,1 bath,2,3,57,1,900,1,1,1125,1125,1,1125,1,24,54,84,98,2020-12-18,12,12,0,93,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Private,1,0,4.04305126783455,Individual,1,1,0
40800077,0,1,1,1,1,la Font de la Guatlla,Sants-Montjuïc,Apartment,Private room,2,1.5 shared baths,1,1,50,1,7,1,1,7,7,1,7,1,30,60,90,365,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Shared,1,1,3.912023005428146,Individual,0,0,0
40805607,0,3,3,1,1,la Barceloneta,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,1,2,67,32,1125,32,32,1125,1125,32,1125,1,29,59,89,89,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,1,4.204692619390966,Individual,1,0,0
40813031,0,2,2,1,1,el Parc i la Llacuna del Poblenou,Sant Martí,Apartment,Entire home/apt,3,1 bath,1,2,99,3,1125,3,3,1125,1125,3,1125,1,16,16,16,89,2020-12-17,8,8,0,93,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Private,1,0,4.59511985013459,Individual,1,1,1
40813956,0,49,49,1,1,Vilapicina i la Torre Llobeta,Nou Barris,Apartment,Entire home/apt,4,1 bath,2,2,71,1,1125,3,7,1125,1125,4.2,1125,1,16,16,16,16,2020-12-17,4,4,1,95,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Private,1,0,4.2626798770413155,Professional,1,1,0
40814589,0,1,1,1,0,la Vila de Gràcia,Gràcia,Apartment,Private room,2,1 shared bath,1,1,35,2,7,2,2,7,7,2,7,1,0,0,0,0,2020-12-18,2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shared,1,0,3.5553480614894135,Individual,1,1,0
40819277,0,3,3,1,1,la Barceloneta,Ciutat Vella,Apartment,Private room,4,1 private bath,2,2,79,3,1125,3,5,1125,1125,3.1,1125,1,0,0,0,231,2020-12-18,4,4,0,95,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,0,4.3694478524670215,Individual,1,1,0
40828720,0,5,5,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,3,1 shared bath,1,2,198,2,28,2,2,1125,1125,2,1125,1,30,46,46,46,2020-12-17,8,8,0,88,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,Shared,1,0,5.288267030694535,Professional,1,1,0
40830168,1,0,0,1,0,la Dreta de l'Eixample,Eixample,Apartment,Private room,4,1 private bath,1,2,88,1,5,1,1,5,5,1,5,1,30,60,90,270,2020-12-18,14,13,0,97,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Private,1,0,4.477336814478207,Individual,1,1,0
40834467,0,15,15,1,1,la Bordeta,Sants-Montjuïc,Apartment,Private room,2,1 shared bath,1,1,60,2,29,2,2,1125,1125,2,1125,1,15,45,75,350,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shared,1,1,4.0943445622221,Professional,0,0,0
40835459,0,5,5,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Entire home/apt,6,1 bath,2,3,160,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,2020-12-18,16,16,0,80,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,5.075173815233827,Professional,1,1,0
40837822,0,1,1,1,1,el Raval,Ciutat Vella,Apartment,Private room,5,1 shared bath,1,1,40,1,1125,1,1,1125,1125,1,1125,1,30,60,90,365,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shared,1,1,3.6888794541139363,Individual,0,0,1
